ID,AREA_DESC,ROADNAME,Area,TOTAL_SPACES,DIPPED_FOOTPATH,PARK_SIGN,ROAD_MARKING,OCCUPIED,Adjacent_Services,LAT,LONG
573,Millennium Park,Snugborough Road Extension,, , , ,TRUE, ,Park,53.3862603059759,-6.3993432426207
574,Millennium Park,Snugborough Road Extension,, , , ,TRUE, ,Park,53.3862630853646,-6.39918905007025
575,Off Yellow Walls Road,Yellow Walls Road,,2, , ,TRUE, ,Primary School,53.4496353967965,-6.16452321070386
576,Off Yellow Walls Road,Yellow Walls Road,,2, , ,TRUE, ,Primary School,53.4496335167229,-6.16447655442832
577,Outside Fingal Burial Ground,Balgriffin Road,, , , ,TRUE, ,Burial Ground,53.4091901739536,-6.17518701585354
578,Outside Fingal Burial Ground,Balgriffin Road,, , , ,TRUE, ,Burial Ground,53.40920763017,-6.17492520425688
579,Loughshinny Beach,NA,,2, , ,Yes,No,Beach,53.547162398899,-6.08076597424895
580,Loughshinny Beach,NA,,2, , ,Yes,No,Beach,53.5471615425576,-6.08080092714438
581,Castlemill Shopping Centre,Hamlet Lane,, , ,TRUE,Yes,No,Shopping Centre,53.6134797807116,-6.20662822861186
582,Castlemill Shopping Centre,Hamlet Lane,, , ,TRUE,Yes,No,Shopping Centre,53.6132285982419,-6.2060677793892
583,Castlemill Shopping Centre,Hamlet Lane,,3, ,TRUE,Yes,No,"GP, Dentist, Chemist, Shopping Centre",53.6133828394681,-6.20676678837932
584,Castlemill Shopping Centre,Hamlet Lane,,3, ,TRUE,Yes,No,"GP, Dentist, Chemist, Shopping Centre",53.6133836402438,-6.20672234871102
585,Castlemill Shopping Centre,Hamlet Lane,,3, ,TRUE,Yes,No,"GP, Dentist, Chemist, Shopping Centre",53.613383012092,-6.2066804378539
586,Glebe North Soccer Club,Market Green,, , , ,Yes,No,Sports Club,53.6056278642466,-6.18238267336449
587,Skerries Point Shopping Centre,Kellys Bay,,4, , ,Yes,No,Shopping Centre,53.5815107510492,-6.13463973554681
588,Skerries Point Shopping Centre,Kellys Bay,,4, , ,Yes,No,Shopping Centre,53.5815177571293,-6.13459126619279
589,Skerries Point Shopping Centre,Kellys Bay,,4, , ,Yes,No,Shopping Centre,53.5814366892177,-6.13459985391122
590,Skerries Point Shopping Centre,Kellys Bay,,4, , ,Yes,No,Shopping Centre,53.581446066117,-6.13455027734329
591,Skerries Point Shopping Centre,Kellys Bay,, , , ,Yes,No,Shopping Centre,53.5818123726029,-6.13462506851192
592,Holmpatrick Shopping Centre,Shenick Road,, , , ,Yes,No,Shopping Centre,53.5704604468862,-6.10579995208276
593,Skerries Golf Club,Golf Links Road,,2, , ,Yes,No,Sports Club,53.5644751087946,-6.11492646025801
594,Skerries Golf Club,Golf Links Road,,2, , ,Yes,No,Sports Club,53.5644784523899,-6.11488216174336
595,Skerries Community College,Seacrest,,4, , ,Yes,No,Secondary School,53.5792971916823,-6.11505071677259
596,Skerries Community College,Seacrest,,4, , ,Yes,No,Secondary School,53.5793121877123,-6.11499679530292
597,St. Brendans National School Loughshinny,Loughshinny Road,,2, , ,Yes,No,Primary School,53.546635771776,-6.08949417632883
598,St. Brendans National School Loughshinny,Loughshinny Road,,2, , ,Yes,No,Primary School,53.5466385837214,-6.08967015423284
599,Shops,Lower Main Street,, , , ,Yes,No,Newsagents,53.5217122630886,-6.09050665861182
600,Houses,Lower Main Street,, , , ,Yes,No,Housing,53.5216769175196,-6.0891970669111
601,Rush South Beach,Convent Lane,,4, , ,Yes,No,Beach,53.5185131250518,-6.09172953499241
602,Rush South Beach,Convent Lane,,4, , ,Yes,No,Beach,53.5185094124439,-6.09181158407213
603,Rush South Beach,Convent Lane,,4, , ,Yes,No,Beach,53.5185051024885,-6.0918563323603
604,Rush South Beach,Convent Lane,,4, , ,Yes,No,Beach,53.5185138485757,-6.09168494789574
605,"St. Maurs Church, Rush",Chapel Green,,2, , ,Yes,No,Church,53.5221945812118,-6.10122266467402
606,"St. Maurs Church, Rush",Chapel Green,,2, , ,Yes,No,Church,53.5222619366146,-6.10125318328103
